material_id,energy,energy_per_atom,band_gap,total_magnetization,0,1,2,3,4,5,6,7,8,9,10,11,12,13
mp-1094392,-33.72925297,-5.6215421616666665,0.0,0.0002245,6.5,1.5,1.5,0.5,3.0,2.0,8.8,0.7999999999999998,7.2,-4.8,4.413094398794975,-1.0609466012050244,3.3521496138894853,1.8163016926031617e-06
mp-1173456,-8.70960409,-2.903201363333333,0.5175000000000001,1.9999999,17.5,3.5,-9.5,-3.5,1.5,0.5,3.5,-2.5,3.0,1.0,8.805743571899052,-4.097701026452544,6.857758493159625,4.50373722043637
mp-570451,-63.51114533,-6.351114533,0.0,6.35e-06,15.5,5.5,-5.5,-5.5,5.0,1.0,4.333333333333334,2.3333333333333335,5.0,-1.0,3.1885726217084507,0.14101807499319885,2.7822344049625274,0.02005604998236077
mp-999189,-30.97286775,-7.7432169375,0.0,8.1274525,13.0,1.0,-5.0,-1.0,2.0,-1.0,7.0,-1.0,8.0,4.0,3.0744993129169718,0.5275006870830279,2.546998625833944,-0.0
mp-979980,-51.24490074,-6.4056125925,0.0,1.10099065,12.0,3.0,-3.0,-2.0,4.0,2.0,7.0,1.0,8.0,-4.0,3.246872885794649,-0.5847456103611688,2.6919124257966196,7.282855058798887e-06
mp-1187161,-18.23683943,-2.27960492875,0.0,0.3069461,8.0,1.0,3.0,-0.0,4.0,-2.0,7.0,-1.0,8.0,4.0,4.6352391099391195,0.8550071691802874,3.829677885267608,-1.0637105119615242e-05
mp-1025397,-57.84262857,-7.23032857125,0.1852999999999998,2.5e-08,15.5,2.5,-6.5,-3.5,4.0,0.0,6.0,0.0,7.0,0.0,2.967664431295219,0.014321393372263458,2.5139215686004874,2.220446049250313e-16
mp-1077925,-15.81611315,-2.2594447357142857,0.0,5.93e-05,11.5,7.5,-3.5,-5.5,3.5,-1.5,1.7,-0.7,7.6,2.4,3.4888370680049863,-0.06779002144498669,4.194900013224994,-0.06823875000788515
mvc-3453,-107.23414557,-4.46808939875,3.7361999999999997,2.5e-08,19.5,0.5,-12.5,2.5,12.0,-8.0,3.4,-1.4,4.0,1.0,3.1371278061877557,0.6109748328435836,2.6237320380650977,-0.8471407989145172
mp-1094372,-19.83443974,-1.6528699783333334,0.0,0.1800366,6.0,1.0,2.0,1.0,6.0,4.0,6.0,4.0,6.3,-3.7,3.768369289863801,-3.710136199153169e-06,3.92446119058373,0.15609351334106236
mp-13841,-46.31181516,-4.631181516,0.0,1.00000005,17.0,2.0,-9.0,-6.0,5.0,3.0,5.0,1.0,3.25,-0.75,3.1120746736407874,-0.5162944464223389,2.254874537082878,0.3630070762780724
mp-1183627,-9.6260194,-2.40650485,0.0,9.62e-05,16.5,0.5,-6.5,-0.5,2.0,-1.0,7.0,-1.0,8.0,4.0,3.4537652188514176,0.5925757811485821,2.861192298900857,-2.861198020953637e-06
mp-505510,-126.73140842,-5.280475350833333,0.0,1.25e-08,16.5,2.5,-8.5,-2.5,12.0,4.0,1.0,-0.0,4.5,-1.5,2.989946591331386,-0.5409035928640402,2.3652683294208647,0.010743390697423916
mp-1263094,-94.69010787,-3.94542116125,0.0,1.99e-05,11.0,6.0,-5.0,-6.0,12.0,4.0,3.5,1.0,7.5,-2.5,2.7189435975225926,-0.16811916991272025,2.8292026962684425,0.020257508737101082
